Question,A,B,C,D,source_folder,num_answers
"Theo tài liệu Public_202, trong hai bộ phận là còi xe và vô lăng lái thì bộ phận nào có chức năng phát ra âm thanh báo hiệu cho người và phương tiện tham gia giao thông?",cả hai bộ phận,vô lăng lái,không bộ phận nào trong 2,còi xe,train_fix,1
"Theo khuyến nghị, dung lượng RAM tối thiểu để cài đặt Premiere Pro CC 2022 là bao nhiêu?",4 GB,8 GB,16 GB,64 GB,train_fix,1
Xu hướng nào giúp nhiều tổ chức cùng huấn luyện mô hình AI mà vẫn giữ bí mật dữ liệu hóa học?,Cloud AI,Federated Learning,Blockchain,Reinforcement Learning,train_fix,1
Mét được định nghĩa dựa trên hiện tượng nào và giây được định nghĩa dựa trên dao động của nguyên tử nào?,Bước sóng Kripton-86; nguyên tử Hydro,Quãng đường ánh sáng trong chân không; nguyên tử Cesium,Chiều dài kinh tuyến qua Paris; nguyên tử Oxy,Khoảng cách Trái đất – Mặt trăng; nguyên tử Carbon,train_fix,1
Mô tả chức năng và các bước sử dụng của công tắc đèn xe ô tô được trình bày trong tài liệu Public_202?,"công tắc đèn dùng để bật hoặc tắt các loại đèn trên xe ôtô, như đèn pha, cốt và các loại đèn chiếu sáng khác Xoay núm để bật công tắc đèn gồm 4 nấc + Nấc “1” : Tất cả các loại đèn đều tắt;
+ Nấc “2” : Bật sáng đèn cốt (đèn chiếu gần), các đèn khác (đèn kích thước, đèn hậu, đèn chiếu sáng bảng đồng hồ, v.v. . . );
+ Nấc “3” : Bật sáng đèn pha (đèn chiếu xa) và những đèn phụ nêu trên.
+ Nấc “4”: Bật chế độ đèn tự động (đèn tự động sáng nếu cảm biến cường độ ánh sáng cảm nhận được đến ngưỡng phải bật đèn).",để phát ra âm thanh và bấm là phát ra tiếng kêu,để điều khiển hướng xe chạy ,không có tác dụng,train_fix,1
Bước nào nêu rõ các tiêu chí và quy trình để lựa chọn công cụ kiểm thử phù hợp?,Xác định phạm vi,Lập kế hoạch,Lựa chọn công cụ,Viết kịch bản,train_fix,1
Tính chất đầy đủ của thuật toán BFS được hiểu như thế nào?,Thuật toán có thể tìm tất cả lời giải có thể,Thuật toán có thể tìm ra lời giải tối ưu nhất,Thuật toán có thể tìm ra lời giải kể cả với bài toán có kích cỡ vô hạn,"Nếu bài toán có lời giải, thuật toán đảm bảo sẽ tìm được lời giải",train_fix,1
"Trong giải thuật RSA, độ an toàn được dựa trên tính khó của bài toán nào?



", Phân tích số nguyên lớn,Rút gọn đa thức, Rời rạc modulo nhỏ,Giải hệ tuyến tính,train_fix,1
Một photodiode PIN cho dòng điện 1 µA trong điều kiện chiếu sáng phòng. Một phototransistor cùng điều kiện có dòng lớn hơn khoảng bao nhiêu lần?,2 lần,10 lần,50 lần,100 lần,train_fix,1
"Trong các giao thức con của SSL/TLS, giao thức nào đảm nhiệm việc tạo đường hầm an toàn để vận chuyển dữ liệu, đảm bảo tính bí mật và toàn vẹn?", SSL Alert Protocol,SSL Handshake Protocol,SSL Record Protocol ,SSL Change Cipher Spec Protocol,train_fix,1
Nhận định nào sau đây không đúng dựa trên nội dung của tài liệu Public_055?,Tìm kiếm Jumping rồi sẽ quay về tìm kiếm tuyến tính ở một bước nào đó,Tìm kiếm nội suy không hề giống tìm kiếm nhị phân,Tìm kiếm nhị phân tiến hành giảm kích thước khoảng đang tìm đi một nửa sau mỗi bước,Tìm kiếm tuyến tính là thuật toán tổng quát nhất,train_fix,1
GAN là viết tắt của?,Generative Adversarial Network,Graphic Adversarial Network,Graphic Artificial Network,Generative Artifical Network,train_fix,1
Thách thức chính khi dùng GNN trong khám phá vật liệu là gì?,Thiếu cơ sở dữ liệu chất lượng cao và cần xác thực thí nghiệm,GPU quá rẻ,Không cần mô phỏng,Dữ liệu dư thừa,train_fix,1
"Trong hệ đếm thập lục phân, ký tự “F” biểu diễn giá trị thập phân nào?",12,14,15,16,train_fix,1
Thuật toán tổng hợp trọng số phổ biến trong FL là gì?,Backpropagation,Gradient Clipping,Federated Averaging (FedAvg),Secure Hash,train_fix,1
Đâu không phải là đặc điểm của linked list?,"Tại một phần tử, có thể chuyển đến phần tử trước nó",Một phần tử có hai trường: thông tin và con trỏ đến phần tử kế tiếp,Giải quyết bất cập về việc cấp phát bộ nhớ của mảng (array),Là một kiểu dữ liệu trừu tượng (ADT - abstract data type),train_fix,1
Thành phần nào đóng vai trò đưa ra hành động trong DRL?,Environment,Reward,Agent,State,train_fix,1
Giá trị của đo độ Hamming Loss trong trường hợp lí tưởng bằng bao nhiêu?,0.5,0,1,Càng nhỏ càng tốt nhưng không được bằng 0,train_fix,1
Hệ thống chống sét theo TCVN 9385:2012 bao gồm mấy phần chính?,2,3,4,5,train_fix,1
Thành phần nào mô tả xác suất chuyển giữa các trạng thái ẩn trong HMM?,Ma trận chuyển trạng thái (A),Ma trận phát xạ (B),Phân phối xác suất ban đầu (π),Tập quan sát (O),train_fix,1
"Nếu kết nối Internet bị gián đoạn, hệ thống Edge sẽ phản ứng thế nào?",Vẫn tiếp tục hoạt động và xử lý cục bộ,Ngừng hoàn toàn,Chỉ gửi dữ liệu khi có mạng,Tự động chuyển sang 3G,train_fix,1
Một trình tối ưu linear regression ghi nhận cost function tăng. Hành động hợp lý tiếp theo là gì?,Thay đổi cost function,Không làm gì cả,Tăng learning rate,Giảm learning rate,train_fix,1
Vì sao phần mềm ký số và kiểm tra chữ ký số cần hỗ trợ dấu thời gian trên thông điệp dữ liệu?,Để tăng dung lượng của chứng thư chữ ký số.,"Để đảm bảo thời điểm ký được xác thực, phục vụ tính pháp lý và chống chối bỏ.",Để giúp người dùng dễ dàng sửa đổi dữ liệu sau khi ký.,Để tiết kiệm chi phí lưu trữ chứng thư số.,train_fix,1
Ứng dụng nào minh họa rõ nhất lợi ích của điện toán không gian trong y tế?,Phát nhạc trực tuyến,Tạo ảnh 2D,Phẫu thuật từ xa trong môi trường 3D,Đèn LED thông minh,train_fix,1
"Theo tài liệu Public_152, trong bảy vùng của hạ tầng CNTT, vùng nào được đề cập là có nhiều mối đe dọa và nguy cơ nhất?",Vùng LAN,",  Vùng WAN
",Vùng người dùng,Vùng máy trạm khả thi,train_fix,1
MAE loss còn có tên khác là gì,L1 loss,L2 loss,Hinge loss,Negative-log loss,train_fix,1
Zoiper được biết đến là loại phần mềm gì?,Phần mềm quản lý tài chính cá nhân,Phần mềm soạn thảo văn bản trực tuyến,Phần mềm softphone miễn phí hỗ trợ gọi điện qua Internet,Phần mềm chỉnh sửa âm thanh chuyên nghiệp,train_fix,1
Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,"Giữ ổn định thành hố khoan, ngăn sụt lở và đưa mùn khoan ra ngoài",Tăng khả năng chịu lực của bê tông,Làm phụ gia thay thế xi măng,Giảm độ nhớt của bê tông,train_fix,1
Chương Public_060 sẽ đi qua bao nhiêu ví dụ?,Một,Hai,Ba,Bốn,train_fix,1
Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,"2 x 2, avg","3 x 3, max","2 x 2, max","3 x 3, avg",train_fix,1
"Nếu ảnh đầu vào có kích thước 32×32, bộ lọc 5×5, stride = 1, padding = 0, thì kích thước đầu ra là bao nhiêu?",30×30,28×28,27×27,25×25,train_fix,1
"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",Dưới dạng chữ cái; đơn vị nhỏ nhất là byte,Dưới dạng nhị phân (chuỗi bit); đơn vị nhỏ nhất là bit,Dưới dạng số thập phân; đơn vị nhỏ nhất là ký tự,Dưới dạng tín hiệu tương tự; đơn vị nhỏ nhất là từ,train_fix,1
"Theo tài liệu, MD5 tạo chuỗi giá trị băm 128 bit, SHA1 tạo chuỗi 160 bit. Nếu một ứng dụng yêu cầu độ dài băm tối thiểu 160 bit để đảm bảo an toàn, hệ quả nào có thể xảy ra nếu vẫn sử dụng MD5 thay vì SHA1?",Vẫn đáp ứng yêu cầu vì MD5 và SHA1 đều là hàm băm một chiều,Có nguy cơ không đáp ứng yêu cầu an toàn do độ dài băm 128 bit thấp hơn chuẩn 160 bit ,Không có sự khác biệt vì đều dùng khối 512 bit làm đầu vào,"
MD5 sẽ tự động kéo dài độ dài băm để đủ 160 bit",train_fix,1
Giao diện của phần mềm softphone Zoiper được thiết kế như thế nào để người dùng cảm thấy quen thuộc khi sử dụng?,"Chỉ có màn hình nền đen với các dòng lệnh dạng text, khó thao tác","Tương tự điện thoại thông thường, có bàn phím số, danh bạ, nhật ký cuộc gọi và cho phép thêm, chỉnh sửa hoặc xóa liên lạc","Giao diện tối giản chỉ có một nút gọi và một nút kết thúc, không có tính năng khá","Hoàn toàn dựa vào cửa sổ cấu hình kỹ thuật, yêu cầu người dùng am hiểu hệ thống mạng",train_fix,1
"Theo tài liệu Public_038, khẳng định nào dưới đây là đúng với cơ chế attention?","Không có attention, mô hình vẫn nhớ được đầy đủ thông tin được đưa vào ban đầu",Attention sử dụng ánh xạ key-value làm cơ sở duy nhất để hoạt động,Attention giúp hình dung tốt hơn cách hoạt động của mô hình,Có duy nhất một hàm để tính attention score,train_fix,1
"Theo tài liệu, phát hiện bất thường có thể tạo ra nhiều báo động giả, còn phát hiện dựa trên chữ ký lại không phát hiện được tấn công chưa có mẫu. Nếu một tổ chức muốn giảm thiểu cả hai hạn chế này, giải pháp hợp lý nhất là gì?



",Chỉ dùng phát hiện bất thường để phát hiện tấn công mới, Chỉ dùng phát hiện dựa trên chữ ký để đảm bảo ít báo động giả, Kết hợp cả phát hiện bất thường và phát hiện dựa trên chữ ký trong cùng hệ thống,"Loại bỏ IDS, chỉ sử dụng IPS",train_fix,1
"Theo tài liệu Public_094, mô phỏng N-body chủ yếu tái hiện điều gì?",Chuyển động hành tinh,Địa chất Mặt Trăng,Tương tác hấp dẫn của hạt đại diện cho vật chất tối và thiên hà,Phản ứng hóa học trong khí quyển,train_fix,1
"Theo tài liệu `Public_057`, đồ thị bánh xe có bao nhiêu cạnh?",2n - 1,n^2,2n,n^2 + 1,train_fix,1
"Theo tài liệu, pgloader cho phép thực hiện những tác vụ nào, và pg-chameleon được dùng trong trường hợp nào?","Pgloader: ánh xạ kiểu dữ liệu, chọn bảng, quản lý schema; Pg-chameleon: dùng để đồng bộ hóa dữ liệu MySQL sang PostgreSQL gần real-time",Pgloader: tích hợp trực tiếp với Estuary Flow; Pg-chameleon: thay thế hoàn toàn PostgreSQL,Pgloader: backup dữ liệu MySQL; Pg-chameleon: chỉ xuất báo cáo CSV,Pgloader: quản lý người dùng PostgreSQL; Pg-chameleon: dùng để chạy query trên MySQL,train_fix,1
"Trong tài liệu Public_002, đối với đoạn liệt kê các học phần từ số 47 đến 81, nếu các học phần này được trải đều trên 7 trang, trung bình mỗi trang mô tả bao nhiêu học phần?",5,6,7,8,train_fix,1
Ưu điểm lớn của hydro so với pin lithium-ion cho xe tải đường dài?,Tốc độ chậm hơn,Dễ cháy,Giảm hiệu suất lạnh,Mật độ năng lượng cao và nạp nhiên liệu nhanh,train_fix,1
Thành phần nào trong kiến trúc 5G cho phép chia mạng thành nhiều “lát” phục vụ các dịch vụ khác nhau?,RAN truyền thống,Network Slicing trong 5G Core,Beamforming,MIMO,train_fix,1
Đâu là nhân tố đóng góp vào việc phát triển kiểm thử tự động,Kiểm thử được thực hiện thủ công,Yếu tố cạnh tranh trên thị trường,"Kiểm thử thủ công hao tốn tài lực, vật lực",Cả ba nhân tố đã nêu,train_fix,1
CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,"Khối điều khiển, bộ nhớ ngoài, bàn phím; chỉ RAM","Khối điều khiển, khối tính toán số học – logic, các thanh ghi; ROM và RAM","ALU, ổ đĩa cứng, USB; chỉ ROM","Bo mạch chủ, cache, màn hình; DVD và CD",train_fix,1
Sản phẩm phụ duy nhất của pin nhiên liệu hydro là gì?,CO₂,Nước tinh khiết,Methane,Nitơ,train_fix,1
"Thứ tự của quy trình kiểm tra mô hình? Sắp xếp các bước sau.
1. Sử dụng mô hình tạo ca kiểm thử
2. Chạy kịch bản kiểm thử
3. Đối chiếu kết quả kiểm thử
4. Đánh giá và phản hồi",2-1-3-4,1-2-3-4,2-3-4-1,4-1-2-3,train_fix,1
"Theo Microsoft, lỗ hổng bảo mật được phân loại theo mấy mức độ nghiêm trọng?", 2 mức,"
3 mức",4 mức ,5 mức ,train_fix,1
